年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,24,水,横浜市,1401,果実総量,40000,,,225586,391,80.1,101.0
2021,11,24,水,横浜市,1401,国産果実総量,40001,,,192567,426,79.3,102.7
2021,11,24,水,横浜市,1401,国産果実総量,40001,奈　良,029,33480,397,,
2021,11,24,水,横浜市,1401,国産果実総量,40001,愛　媛,038,32765,308,,
2021,11,24,水,横浜市,1401,国産果実総量,40001,和歌山,030,28104,328,,
2021,11,24,水,横浜市,1401,国産果実総量,40001,秋　田,005,18825,403,,
2021,11,24,水,横浜市,1401,国産果実総量,40001,静　岡,022,13472,457,,
2021,11,24,水,横浜市,1401,国産果実総量,40001,山　形,006,11341,311,,
2021,11,24,水,横浜市,1401,国産果実総量,40001,岩　手,003,8800,382,,
2021,11,24,水,横浜市,1401,みかん,40100,,,61105,270,61.0,98.9
2021,11,24,水,横浜市,1401,みかん,40100,和歌山,030,21511,311,,
2021,11,24,水,横浜市,1401,みかん,40100,愛　媛,038,13280,269,,
2021,11,24,水,横浜市,1401,みかん,40100,静　岡,022,11511,256,,
2021,11,24,水,横浜市,1401,みかん,40100,熊　本,043,7017,230,,
2021,11,24,水,横浜市,1401,その他雑かん,41999,,,1724,500,23.4,80.0
2021,11,24,水,横浜市,1401,りんご計,42000,,,47858,370,75.5,97.1
2021,11,24,水,横浜市,1401,りんご計,42000,秋　田,005,18825,403,,
2021,11,24,水,横浜市,1401,りんご計,42000,岩　手,003,8800,382,,
2021,11,24,水,横浜市,1401,りんご計,42000,山　形,006,8460,275,,
2021,11,24,水,横浜市,1401,りんご計,42000,青　森,002,8043,364,,